region,year,invest_total_mln_rub,sports_facilities_count,sports_facilities_per_10k_rural_pop,sports_schools_count,retail_shops_count,retail_shops_per_10k_rural_pop,catering_units_count,catering_units_per_10k_rural_pop,service_units_count,service_units_per_10k_rural_pop,household_service_points_count,household_service_points_per_10k_rural_pop,post_offices_count,post_offices_per_10k_rural_pop,housing_input_total_thousand_m2,housing_input_individual_share_percent,waste_removal_objects_count,container_sites_count,length_streets_total_km,length_streets_hard_surface_km,length_local_roads_km,length_hard_surface_roads_km,natural_resource_enterprises_count,natural_resource_enterprises_per_10k_rural_pop,fixed_assets_total_mln_rub,fixed_assets_per_capita_rub,housing_stock_total,housing_stock_per_capita,infrastructure_stock_total,infrastructure_stock_per_capita,health_facilities_count,health_facilities_per_10k_rural_pop,tourist_beds_count,tourist_beds_per_10k_rural_pop
Республика Коми,2024,650317.0,879.0,839.0,16.0,,,,,,,29.0,4.0,,,,,489.1842,59.3986,3016.4,2232.35,1853.4,1470.4,153.0,6663.0,,,,,,,349.0,,31.0,677.0
Республика Крым,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.0,13246.0
Республика Крым,2022,720932.0,1976.0,1892.0,12.0,,,85.0,1651.0,,,39.0,2.0,982.0,643.0,756557.0,,2056.06,330.73,7198.3,2791.5,7037.9,4434.1,287.0,204.0,,,,,,,736.0,,394.0,13275.0
Республика Крым,2023,622483.0,,,,,,,,,,,,,,,,,,,,7244.5,4534.9,,,,,,,,,,,771.0,36994.0
Республика Крым,2024,934847.0,2236.0,2139.0,13.0,,,,,,,39.0,6.0,,,,,2682.44,468.23,7953.8,5502.1,7710.2,4683.6,297.0,31193.0,,,,,,,746.0,,830.0,39510.0
Республика Марий Эл,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,1852.0
Республика Марий Эл,2022,102746.0,1212.0,1137.0,14.0,,,57.0,1065.0,,,15.0,3.0,1527.0,1465.0,227186.0,,535.86,54.65,4297.6,3102.3,4211.3,1127.7,161.0,71.0,1.0,86.0,19.0,5626.0,9.0,2846.0,277.0,,36.0,1949.0
Республика Марий Эл,2023,56465.0,,,,,,,,,,,,,,,,,,,,4077.3,1119.8,,,1.0,86.0,19.0,5626.0,9.0,2846.0,,,44.0,1995.0
Республика Марий Эл,2024,66586.0,1144.0,1065.0,14.0,,,,,,,11.0,1.0,,,,,597.805,59.121,3944.9,3016.1,4072.4,1152.2,155.0,5705.0,,,,,,,274.0,,56.0,2205.0
Республика Мордовия,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,628.0
Республика Мордовия,2022,173123.0,1115.0,1093.0,11.0,,,5.0,202.0,,,13.0,,1122.0,1076.0,146674.0,,732.15,153.81,5925.7,2582.9,6714.6,2049.6,97.0,45.0,2.0,292.0,58.0,8124.0,34.0,3770.0,492.0,,21.0,629.0
Республика Мордовия,2023,97175.0,,,,,,,,,,,,,,,,,,,,6772.9,2077.7,,,2.0,292.0,58.0,8124.0,34.0,3770.0,,,42.0,805.0
Республика Мордовия,2024,105535.0,903.0,876.0,12.0,,,,,,,19.0,1.0,,,,,783.8222,167.0274,6076.5,2615.74,6750.9,2115.5,101.0,4084.0,,,,,,,462.0,,56.0,1208.0
Республика Саха (Якутия),2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,190.0
Республика Саха (Якутия),2022,1062633.0,1017.0,957.0,60.0,,,63.0,1971.0,,,100.0,7.0,379.0,434.0,183248.0,,765.36,807.3,4828.7,2986.2,9168.6,3188.8,469.0,290.0,88.0,2571.0,1467.0,31423.0,968.0,16298.0,433.0,,36.0,221.0
Республика Саха (Якутия),2023,1321065.0,,,,,,,,,,,,,,,,,,,,9878.6,3739.8,,,88.0,2571.0,1467.0,31423.0,968.0,16298.0,,,76.0,524.0
Республика Саха (Якутия),2024,2767053.0,1064.0,977.0,70.0,,,,,,,106.0,8.0,,,,,895.304,616.316,5375.6,3363.591,9781.6,3694.0,470.0,20129.0,,,,,,,454.0,,78.0,509.0
Республика Северная Осетия- Алания,2022,,,,,,,,,,,,,,,,,,,,,,,,,5.0,103.0,69.0,2604.0,38.0,1065.0,,,,
Республика Северная Осетия- Алания,2023,,,,,,,,,,,,,,,,,,,,,,,,,5.0,103.0,69.0,2604.0,38.0,1065.0,,,,
Республика Северная Осетия-Алания,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,731.0
Республика Северная Осетия-Алания,2022,34688.0,404.0,400.0,3.0,,,4.0,60.0,,,,,150.0,135.0,111698.0,,173.79,29.97,2229.4,983.1,3843.0,3106.2,92.0,84.0,,,,,,,111.0,,17.0,717.0
Республика Северная Осетия-Алания,2023,56262.0,,,,,,,,,,,,,,,,,,,,3881.3,3023.1,,,,,,,,,,,22.0,1001.0
Республика Северная Осетия-Алания,2024,36434.0,451.0,445.0,5.0,,,,,,,,,,,,,226.8,58.566,2407.2,1082.1,3858.4,2995.0,94.0,7665.0,,,,,,,123.0,,25.0,1027.0
Республика Татарстан,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,4992.0
Республика Татарстан,2022,643989.0,3915.0,3826.0,21.0,,,75.0,2026.0,,,68.0,8.0,2681.0,2675.0,1093077.0,,880.53,259.61,13572.6,10962.3,17960.8,10421.8,,,,,,,,,1636.0,,128.0,6149.0
Республика Татарстан,2023,832933.0,,,,,,,,,,,,,,,,,,,,18464.2,10870.9,,,,,,,,,,,180.0,7185.0
Республика Татарстан,2024,922155.0,4887.0,4619.0,45.0,,,,,,,109.0,11.0,,,,,2569.654,795.2176,16864.7,13831.83,18353.4,11015.2,,,,,,,,,1884.0,,190.0,7158.0
Республика Татарстан (Татарстан),2022,,,,,,,,,,,,,,,,,,,,,,,907.0,674.0,45.0,1830.0,279.0,31820.0,183.0,16608.0,,,,
Республика Татарстан (Татарстан),2023,,,,,,,,,,,,,,,,,,,,,,,,,45.0,1830.0,279.0,31820.0,183.0,16608.0,,,,
Республика Татарстан (Татарстан),2024,,,,,,,,,,,,,,,,,,,,,,,904.0,29097.0,,,,,,,,,,
Республика Тыва,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,865.0
Республика Тыва,2022,138555.0,542.0,505.0,55.0,,,24.0,936.0,,,63.0,10.0,121.0,102.0,31841.0,,11.02,1.76,1438.0,614.6,5446.9,507.8,151.0,117.0,7.0,131.0,188.0,1913.0,115.0,667.0,122.0,,60.0,745.0
Республика Тыва,2023,71359.0,,,,,,,,,,,,,,,,,,,,5497.2,507.8,,,7.0,131.0,188.0,1913.0,115.0,667.0,,,73.0,841.0
Республика Тыва,2024,167207.0,491.0,472.0,14.0,,,,,,,57.0,5.0,,,,,49.74,7.4751,1663.5,712.9,5490.4,508.3,149.0,10602.0,,,,,,,133.0,,79.0,813.0
Республика Хакасия,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,1794.0
Республика Хакасия,2022,512504.0,649.0,615.0,8.0,,,32.0,1074.0,,,,,267.0,262.0,104753.0,,306.39,24.27,3216.1,1454.2,3977.9,2363.6,136.0,72.0,,35.0,12.0,1088.0,4.0,455.0,184.0,,71.0,1884.0
Республика Хакасия,2023,275920.0,,,,,,,,,,,,,,,,,,,,3988.8,2365.0,,,,35.0,12.0,1088.0,4.0,455.0,,,90.0,2175.0
Республика Хакасия,2024,442631.0,681.0,639.0,11.0,,,,,,,,,,,,,374.2125,33.8836,3306.0,1588.887,3921.4,2356.6,138.0,6737.0,,,,,,,185.0,,102.0,2327.0
Ростовская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,4034.0
Ростовская область,2022,1157421.0,4855.0,4660.0,30.0,,,340.0,9651.0,,,3.0,1.0,2190.0,1974.0,734376.0,,2612.9,511.75,17402.3,9351.6,19769.0,13022.1,746.0,626.0,111.0,1574.0,2362.0,57563.0,1165.0,26552.0,1171.0,,176.0,4589.0
Ростовская область,2023,1032231.0,,,,,,,,,,,,,,,,,,,,19791.6,13139.6,,,111.0,1574.0,2362.0,57563.0,1165.0,26552.0,,,197.0,5554.0
Ростовская область,2024,1298916.0,5090.0,4875.0,41.0,,,,,,,21.0,,,,,,2926.8838,570.8201,17812.1,9872.86,19981.5,13338.3,729.0,37594.0,,,,,,,1201.0,,203.0,5453.0
Рязанская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,1524.0
Рязанская область,2022,157769.0,1423.0,1275.0,18.0,,,43.0,728.0,,,18.0,1.0,2352.0,1533.0,314149.0,,1084.78,156.2,7196.3,3413.7,7852.1,2981.8,161.0,89.0,4.0,375.0,188.0,8450.0,142.0,4694.0,586.0,,68.0,2089.0
Рязанская область,2023,166221.0,,,,,,,,,,,,,,,,,,,,7843.5,3034.8,,,4.0,375.0,188.0,8450.0,142.0,4694.0,,,80.0,2194.0
Рязанская область,2024,154059.0,1448.0,1290.0,29.0,,,,,,,16.0,1.0,,,,,1192.837,207.9199,7062.4,3561.45,7921.4,3126.2,135.0,5022.0,,,,,,,562.0,,90.0,2467.0
Самарская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,4552.0
Самарская область,2022,1550212.0,1942.0,1835.0,24.0,,,91.0,2784.0,,,126.0,9.0,1232.0,1074.0,736611.0,,1521.64,314.21,18024.9,8551.6,29997.6,6914.4,135.0,5.0,92.0,535.0,1714.0,28082.0,851.0,15336.0,697.0,,118.0,4641.0
Самарская область,2023,742905.0,,,,,,,,,,,,,,,,,,,,31071.4,7712.0,,,92.0,535.0,1714.0,28082.0,851.0,15336.0,,,134.0,5096.0
Самарская область,2024,1121875.0,2063.0,1920.0,25.0,,,,,,,127.0,8.0,,,,,989.3557,176.1795,18226.1,8897.615,30984.1,7684.4,118.0,23272.0,,,,,,,733.0,,144.0,5324.0
Саратовская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,3086.0
Саратовская область,2022,330405.0,1784.0,1760.0,9.0,,,51.0,1611.0,,,7.0,,1308.0,1304.0,98907.0,,484.65,59.9,8047.5,4135.0,12904.1,5974.7,391.0,231.0,17.0,422.0,424.0,12487.0,177.0,4221.0,752.0,,89.0,2710.0
Саратовская область,2023,196421.0,,,,,,,,,,,,,,,,,,,,13470.5,6369.2,,,17.0,422.0,424.0,12487.0,177.0,4221.0,,,110.0,3261.0
Саратовская область,2024,188325.0,2287.0,2242.0,17.0,,,,,,,38.0,1.0,,,,,1075.369,230.492,9446.1,5369.765,13559.4,6505.7,328.0,9633.0,,,,,,,855.0,,114.0,3370.0
Сахалинская область,2022,793587.0,329.0,316.0,3.0,,,5.0,164.0,,,,,135.0,133.0,83185.0,,161.61,31.55,905.6,447.0,1158.6,375.6,,,,8.0,,121.0,,76.0,100.0,,,
Сахалинская область,2023,,,,,,,,,,,,,,,,,,,,,1059.8,328.8,,,,8.0,,121.0,,76.0,,,35.0,435.0
Сахалинская область,2024,,478.0,462.0,7.0,,,,,,,,,,,,,309.3057,53.7628,970.8,474.001,1056.2,343.7,,,,,,,,,108.0,,51.0,607.0
Свердловская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
Свердловская область,2022,1803332.0,2194.0,1970.0,45.0,,,148.0,5360.0,,,48.0,4.0,1368.0,1418.0,473780.0,,1381.03,212.99,12035.5,6836.0,11080.7,6361.4,54.0,46.0,11.0,86.0,234.0,2614.0,133.0,1246.0,709.0,,3.0,
Свердловская область,2023,195860.0,,,,,,,,,,,,,,,,,,,,12286.2,7223.3,,,11.0,86.0,234.0,2614.0,133.0,1246.0,,,137.0,5362.0
Свердловская область,2024,502226.0,2495.0,2328.0,47.0,,,,,,,33.0,9.0,,,,,1943.2392,267.5147,11754.9,7514.976,12446.8,7439.2,52.0,2673.0,,,,,,,742.0,,149.0,5550.0
Смоленская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,1050.0
Смоленская область,2022,191301.0,1144.0,1044.0,7.0,,,60.0,1693.0,,,,,3868.0,3359.0,122484.0,,505.82,66.57,8624.7,3456.3,14159.4,6121.0,137.0,60.0,25.0,731.0,607.0,24771.0,198.0,9502.0,480.0,,43.0,1093.0
Смоленская область,2023,110805.0,,,,,,,,,,,,,,,,,,,,14149.8,6318.3,,,25.0,731.0,607.0,24771.0,198.0,9502.0,,,52.0,1507.0
Смоленская область,2024,289847.0,1124.0,1025.0,7.0,,,,,,,1.0,,,,,,484.26,76.482,8486.1,3666.7,14073.5,6416.5,130.0,4542.0,,,,,,,466.0,,57.0,1616.0
Ставропольский край,2022,570474.0,2253.0,2123.0,23.0,,,122.0,3467.0,,,34.0,7.0,684.0,641.0,252872.0,,2702.92,314.51,10468.5,5870.2,11315.8,9357.5,,,37.0,685.0,691.0,21086.0,297.0,9179.0,619.0,,,
Ставропольский край,2023,,,,,,,,,,,,,,,,,,,,,11369.1,9424.8,,,37.0,685.0,691.0,21086.0,297.0,9179.0,,,90.0,1861.0
Ставропольский край,2024,,2327.0,2167.0,30.0,,,,,,,65.0,6.0,,,,,1848.256,185.4605,10324.9,6378.027,11452.0,9503.4,,,,,,,,,619.0,,100.0,2308.0
Тамбовская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,902.0
Тамбовская область,2022,217834.0,2618.0,2518.0,13.0,,,57.0,1109.0,,,15.0,1.0,1474.0,1410.0,167755.0,,812.13,124.18,9413.3,2631.3,15472.8,6480.4,263.0,38.0,5.0,169.0,157.0,19798.0,42.0,10926.0,581.0,,50.0,1173.0
Тамбовская область,2023,155366.0,,,,,,,,,,,,,,,,,,,,15212.6,6402.1,,,5.0,169.0,157.0,19798.0,42.0,10926.0,,,69.0,1841.0
Тамбовская область,2024,,2501.0,2422.0,12.0,,,,,,,6.0,,,,,,841.61,112.91,9275.3,2706.78,15104.3,6325.6,,,,,,,,,578.0,,82.0,1861.0
Тверская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,3647.0
Тверская область,2022,271649.0,1657.0,1488.0,18.0,,,21.0,568.0,,,26.0,1.0,7671.0,5539.0,426792.0,,1141.29,225.89,10268.6,5194.9,17071.8,4496.6,121.0,70.0,22.0,228.0,465.0,9227.0,231.0,3932.0,635.0,,95.0,3586.0
Тверская область,2023,116956.0,,,,,,,,,,,,,,,,,,,,16787.9,4473.5,,,22.0,228.0,465.0,9227.0,231.0,3932.0,,,171.0,6600.0
Тверская область,2024,2473.0,1691.0,1500.0,16.0,,,,,,,21.0,1.0,,,,,674.4587,83.6323,10681.7,5881.5,16958.1,4312.2,4.0,162.0,,,,,,,657.0,,191.0,6918.0
Томская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,1478.0
Томская область,2022,216278.0,941.0,906.0,16.0,,,35.0,954.0,,,4.0,,470.0,448.0,236521.0,,433.78,76.68,4445.5,3371.5,5679.5,3234.3,207.0,66.0,59.0,489.0,1015.0,19933.0,603.0,9364.0,298.0,,61.0,1519.0
Томская область,2023,247301.0,,,,,,,,,,,,,,,,,,,,5726.9,3289.9,,,59.0,489.0,1015.0,19933.0,603.0,9364.0,,,64.0,1496.0
Томская область,2024,447654.0,1003.0,970.0,57.0,,,,,,,16.0,2.0,,,,,526.7352,94.9813,4414.1,3488.55,5715.3,3347.2,196.0,11713.0,,,,,,,299.0,,62.0,1409.0
Тульская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,1973.0
Тульская область,2022,459248.0,660.0,618.0,6.0,,,20.0,586.0,,,32.0,4.0,2478.0,2251.0,167843.0,,1255.97,131.67,4706.4,1704.6,7192.1,3796.8,119.0,43.0,9.0,105.0,196.0,4099.0,76.0,1513.0,232.0,,47.0,2333.0
Тульская область,2023,112317.0,,,,,,,,,,,,,,,,,,,,7779.7,4127.7,,,9.0,105.0,196.0,4099.0,76.0,1513.0,,,76.0,3262.0
Тульская область,2024,120235.0,666.0,616.0,7.0,,,,,,,35.0,4.0,,,,,1417.843,137.4474,4977.2,1975.46,6970.0,3224.7,113.0,4027.0,,,,,,,324.0,,85.0,3077.0
Тюменская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,3540.0
Тюменская область,2022,5832471.0,3259.0,3014.0,38.0,,,114.0,5862.0,,,19.0,1.0,1276.0,1131.0,1179373.0,,2073.0,288.71,9220.0,6889.3,9262.4,5366.9,261.0,58.0,521.0,5843.0,7592.0,102939.0,4442.0,69798.0,771.0,,123.0,3714.0
Тюменская область,2023,2939995.0,,,,,,,,,,,,,,,,,,,,9382.4,5511.0,,,521.0,5843.0,7592.0,102939.0,4442.0,69798.0,,,178.0,4285.0
Тюменская область,2024,3860222.0,3453.0,3160.0,43.0,,,,,,,14.0,1.0,,,,,1768.4051,290.117,9451.5,7525.4763,9466.3,5573.4,247.0,29752.0,,,,,,,873.0,,171.0,4341.0
Тюменская область (кроме Ханты-Мансийского автономного округа и Ямало-Ненецкого автономного округа),2022,,,,,,,,,,,,,,,,,,,,,,,,,162.0,2068.0,2432.0,47872.0,1521.0,31439.0,,,,
Тюменская область (кроме Ханты-Мансийского автономного округа и Ямало-Ненецкого автономного округа),2023,,,,,,,,,,,,,,,,,,,,,,,,,162.0,2068.0,2432.0,47872.0,1521.0,31439.0,,,,
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,3147.0
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2022,1789438.0,1823.0,1703.0,19.0,,,66.0,2493.0,,,13.0,1.0,1105.0,932.0,928362.0,,972.92,117.78,6806.4,5025.9,,,164.0,18.0,,,,,,,565.0,,100.0,3356.0
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2023,2038478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0,3313.0
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2024,2924877.0,1921.0,1780.0,21.0,,,,,,,11.0,1.0,,,,,693.674,140.066,7026.8,5567.093,,,159.0,23989.0,,,,,,,661.0,,109.0,3178.0
Тюменская область без автономных округов,2022,,,,,,,,,,,,,,,,,,,,,7373.4,4235.3,,,,,,,,,,,,
Тюменская область без автономных округов,2023,,,,,,,,,,,,,,,,,,,,,7424.2,4309.2,,,,,,,,,,,,
Тюменская область без автономных округов,2024,,,,,,,,,,,,,,,,,,,,,7481.0,4354.8,,,,,,,,,,,,
Удмуртская Республика,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,2202.0
Удмуртская Республика,2022,268898.0,1724.0,1663.0,27.0,,,130.0,5384.0,,,47.0,2.0,1783.0,1714.0,381701.0,,1344.8,175.88,8152.5,5384.9,9186.7,3518.4,,,76.0,714.0,1611.0,38979.0,1033.0,26138.0,658.0,,,
Удмуртская Республика,2023,,,,,,,,,,,,,,,,,,,,,9231.3,3663.4,,,76.0,714.0,1611.0,38979.0,1033.0,26138.0,,,96.0,2396.0
Удмуртская Республика,2024,,1742.0,1637.0,40.0,,,,,,,39.0,4.0,,,,,725.662,136.289,7825.8,5905.43,9502.4,3869.5,,,,,,,,,670.0,,105.0,2410.0
Ульяновская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,2470.0
Ульяновская область,2022,131200.0,1476.0,1405.0,17.0,,,62.0,2901.0,,,24.0,6.0,857.0,836.0,183670.0,,1237.67,234.56,6535.4,3385.3,6725.2,3285.7,169.0,45.0,9.0,153.0,375.0,7392.0,195.0,2899.0,556.0,,48.0,2442.0
Ульяновская область,2023,41864.0,,,,,,,,,,,,,,,,,,,,6772.8,3362.1,,,9.0,153.0,375.0,7392.0,195.0,2899.0,,,85.0,3092.0
Ульяновская область,2024,77564.0,1442.0,1379.0,18.0,,,,,,,23.0,6.0,,,,,1212.42,272.98,6749.8,3571.8,6876.7,3379.6,164.0,4410.0,,,,,,,558.0,,82.0,3151.0
Хабаровский край,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,1144.0
Хабаровский край,2022,66793.0,813.0,707.0,11.0,,,64.0,1454.0,,,8.0,1.0,327.0,290.0,116617.0,,553.32,114.79,3494.5,1746.6,3926.1,2949.2,191.0,130.0,43.0,319.0,708.0,19164.0,413.0,11094.0,288.0,,43.0,1095.0
Хабаровский край,2023,499152.0,,,,,,,,,,,,,,,,,,,,4135.1,3049.7,,,43.0,319.0,708.0,19164.0,413.0,11094.0,,,66.0,1683.0
Хабаровский край,2024,598432.0,880.0,774.0,10.0,,,,,,,9.0,1.0,,,,,515.1977,111.2246,3446.9,1897.0,4293.1,3219.5,186.0,9289.0,,,,,,,290.0,,76.0,1759.0
Ханты-Мансийский автономный округ,2022,,,,,,,,,,,,,,,,,,,,,1431.1,775.7,,,,,,,,,,,,
Ханты-Мансийский автономный округ,2023,,,,,,,,,,,,,,,,,,,,,1460.3,807.4,,,,,,,,,,,,
Ханты-Мансийский автономный округ,2024,,,,,,,,,,,,,,,,,,,,,1477.4,810.5,,,,,,,,,,,,
Ханты-Мансийский автономный округ — Югра,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,325.0
Ханты-Мансийский автономный округ — Югра,2022,1655072.0,1016.0,942.0,12.0,,,28.0,843.0,,,1.0,,127.0,140.0,207999.0,,758.89,106.36,1903.2,1477.2,,,91.0,35.0,118.0,2683.0,1544.0,28794.0,782.0,18810.0,144.0,,20.0,
Ханты-Мансийский автономный округ — Югра,2023,901517.0,,,,,,,,,,,,,,,,,,,,,,,,118.0,2683.0,1544.0,28794.0,782.0,18810.0,,,43.0,704.0
Ханты-Мансийский автономный округ — Югра,2024,935345.0,1106.0,1011.0,13.0,,,,,,,,,,,,,741.0391,84.1481,1950.5,1562.87,,,88.0,5763.0,,,,,,,148.0,,41.0,896.0
Челябинская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.0,5666.0
Челябинская область,2022,1033849.0,2217.0,2118.0,20.0,,,84.0,3685.0,,,27.0,2.0,1119.0,855.0,660175.0,,968.01,132.98,10310.6,6426.9,11648.9,6984.3,495.0,388.0,30.0,571.0,585.0,22542.0,239.0,9927.0,803.0,,129.0,5607.0
Челябинская область,2023,2033389.0,,,,,,,,,,,,,,,,,,,,11806.1,7557.2,,,30.0,571.0,585.0,22542.0,239.0,9927.0,,,181.0,7313.0
Челябинская область,2024,1502784.0,2287.0,2194.0,19.0,,,,,,,30.0,2.0,,,,,1449.563,163.8881,11017.9,7548.0,12015.1,7694.2,451.0,23538.0,,,,,,,799.0,,190.0,7251.0
Чеченская Республика,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,
Чеченская Республика,2022,235095.0,1353.0,1128.0,29.0,,,25.0,653.0,,,22.0,2.0,348.0,40.0,1115598.0,,847.82,167.3,6892.7,1203.9,7009.2,5125.0,290.0,289.0,12.0,2029.0,663.0,53796.0,348.0,37219.0,292.0,,23.0,
Чеченская Республика,2023,218486.0,,,,,,,,,,,,,,,,,,,,7225.4,5244.9,,,12.0,2029.0,663.0,53796.0,348.0,37219.0,,,26.0,
Чеченская Республика,2024,181342.0,1428.0,1192.0,34.0,,,,,,,20.0,4.0,,,,,893.78,175.326,6929.8,1236.7,7076.0,5215.7,294.0,47781.0,,,,,,,289.0,,34.0,
Чувашская Республика,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,1616.0
Чувашская Республика,2022,408170.0,2205.0,2129.0,18.0,,,65.0,2547.0,,,38.0,3.0,1688.0,1669.0,428871.0,,710.29,118.11,6886.9,5726.4,9678.0,5684.7,256.0,94.0,18.0,994.0,278.0,40970.0,142.0,18385.0,704.0,,46.0,1613.0
Чувашская Республика,2023,,,,,,,,,,,,,,,,,,,,,9692.6,5805.0,,,18.0,994.0,278.0,40970.0,142.0,18385.0,,,52.0,1562.0
Чувашская Республика,2024,,2049.0,1980.0,19.0,,,,,,,37.0,3.0,,,,,891.528,5515.4966,6618.9,5713.9,9745.1,5922.0,,,,,,,,,699.0,,50.0,1615.0
Чукотский автономный округ,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,23.0
Чукотский автономный округ,2022,45072.0,67.0,67.0,5.0,,,2.0,22.0,,,,,36.0,36.0,2730.0,,41.81,8.31,237.3,134.6,120.4,73.4,16.0,2.0,57.0,224.0,550.0,3224.0,212.0,1733.0,40.0,,6.0,28.0
Чукотский автономный округ,2023,78041.0,,,,,,,,,,,,,,,,,,,,149.1,100.9,,,57.0,224.0,550.0,3224.0,212.0,1733.0,,,13.0,91.0
Чукотский автономный округ,2024,17713.0,70.0,70.0,5.0,,,,,,,,,,,,,56.7353,8.775,219.7,152.9,148.9,70.8,17.0,628.0,,,,,,,39.0,,11.0,121.0
Ямало-Ненецкий автономный округ,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,68.0
Ямало-Ненецкий автономный округ,2022,,,,,,,,,,,,,,,,,,,,,457.9,355.9,,,241.0,1092.0,3616.0,26272.0,2139.0,19550.0,,,3.0,
Ямало-Ненецкий автономный округ,2023,,,,,,,,,,,,,,,,,,,,,497.9,394.4,,,241.0,1092.0,3616.0,26272.0,2139.0,19550.0,,,23.0,268.0
Ямало-Ненецкий автономный округ,2024,,,,,,,,,,,,,,,,,,,,,507.9,408.1,,,,,,,,,,,21.0,267.0
Ямало-Ненецкий автономный округ (Тюменская область),2022,2387961.0,420.0,369.0,7.0,,,20.0,2526.0,,,5.0,,44.0,59.0,43012.0,,341.19,64.57,510.4,386.2,,,6.0,5.0,,,,,,,62.0,,,
Ямало-Ненецкий автономный округ (Тюменская область),2024,,426.0,369.0,9.0,,,,,,,3.0,,,,,,333.692,65.9029,474.2,395.5133,,,,,,,,,,,64.0,,,
Ярославская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,3515.0
Ярославская область,2022,488382.0,845.0,803.0,6.0,,,38.0,1085.0,,,4.0,2.0,5344.0,3161.0,461076.0,,709.48,93.58,5132.2,3537.3,9815.0,2575.4,205.0,95.0,98.0,358.0,2100.0,14233.0,771.0,6840.0,323.0,,77.0,3615.0
Ярославская область,2023,188416.0,,,,,,,,,,,,,,,,,,,,9853.8,2647.0,,,98.0,358.0,2100.0,14233.0,771.0,6840.0,,,89.0,4493.0
Ярославская область,2024,171539.0,866.0,822.0,6.0,,,,,,,5.0,2.0,,,,,770.5504,123.719,5241.3,3721.6,10165.0,2726.3,194.0,8025.0,,,,,,,345.0,,90.0,4513.0
г. Москва,2024,,350.0,103.0,3.0,,,,,,,28.0,,,,,,731.07,182.17,167.1,154.0,,,,,,,,,,,56.0,,,
г. Севастополь,2024,,21.0,18.0,,,,,,,,2.0,,,,,,,,51.0,15.0,,,,,,,,,,,8.0,,,
г.Севастополь,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,981.0
г.Севастополь,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,954.0
